[25, 0.625, 0.2, [1, 3]]
0;[3, 77];[2, 14];[3, 221];[3, 86];[3, 71];[3, 95];[3, 49];[3, 33];[3, 86];[3, 104];[3, 79];[3, 55];[4, 174];[3, 47];[3, 306];[3, 35];[3, 17];[3, 211];[2, 115];[3, 49];[3, 80];[4, 74];[2, 22];[3, 245];[3, 41];
61;[3, 74];[2, 64];[8, 116];[2, 44];[4, 103];[2, 943];[3, 58];[5, 39];[5, 129];[5, 48];[2, 24];[2, 21];[3, 521];[2, 8];[1, 2];[2, 18];[1, 66];[2, 22];[1, 4];[2, 2];[6, 76];[5, 213];[5, 189];[2, 4];[5, 117];
62;[3, 74];[2, 64];[7, 110];[2, 44];[4, 93];[2, 45];[3, 58];[5, 39];[5, 129];[5, 48];[2, 16];[2, 36];[3, 521];[2, 8];[1, 2];[3, 165];[1, 9];[2, 22];[1, 4];[2, 2];[6, 68];[5, 213];[5, 52];[3, 6];[5, 154];
63;[3, 128];[2, 64];[7, 225];[2, 44];[4, 50];[2, 156];[3, 58];[5, 39];[5, 129];[5, 48];[2, 20];[2, 36];[2, 369];[2, 67];[1, 2];[3, 165];[1, 42];[2, 22];[2, 8];[2, 2];[6, 49];[5, 138];[5, 52];[4, 25];[5, 154];
64;[3, 128];[2, 64];[7, 225];[2, 79];[4, 73];[2, 156];[3, 58];[5, 39];[5, 1094];[5, 48];[2, 20];[2, 23];[2, 369];[2, 55];[1, 2];[3, 165];[2, 16];[2, 22];[2, 8];[2, 2];[6, 66];[6, 150];[5, 52];[4, 25];[5, 154];
65;[3, 128];[2, 56];[7, 225];[2, 42];[4, 67];[2, 178];[3, 58];[5, 64];[5, 1094];[5, 48];[2, 20];[2, 23];[2, 21];[2, 55];[1, 24];[3, 165];[2, 16];[2, 22];[2, 68];[2, 2];[6, 66];[5, 139];[5, 64];[4, 25];[5, 500];
66;[3, 241];[2, 71];[7, 225];[2, 42];[4, 15];[3, 153];[3, 52];[5, 64];[5, 1094];[6, 755];[2, 20];[2, 46];[2, 21];[2, 55];[2, 166];[3, 165];[2, 64];[2, 22];[2, 68];[2, 51];[6, 66];[5, 139];[5, 64];[4, 25];[5, 500];
67;[3, 241];[2, 106];[6, 222];[2, 42];[4, 15];[4, 146];[3, 52];[5, 46];[5, 1094];[6, 755];[2, 20];[2, 8];[2, 21];[2, 55];[2, 166];[3, 165];[2, 13];[2, 40];[2, 68];[2, 51];[6, 66];[6, 182];[5, 64];[4, 25];[6, 481];
68;[3, 241];[1, 3];[6, 222];[2, 42];[4, 15];[4, 146];[3, 52];[5, 46];[5, 199];[6, 755];[2, 20];[2, 8];[2, 21];[2, 55];[2, 166];[3, 165];[2, 13];[2, 40];[2, 68];[2, 51];[6, 66];[6, 182];[5, 68];[4, 25];[4, 1321];
69;[3, 142];[1, 9];[6, 222];[2, 42];[4, 15];[4, 146];[2, 27];[5, 46];[5, 202];[6, 771];[2, 20];[2, 4];[2, 21];[2, 55];[2, 166];[3, 49];[2, 13];[2, 40];[2, 68];[3, 46];[6, 66];[6, 182];[5, 68];[4, 25];[4, 1321];
70;[2, 109];[2, 24];[6, 220];[2, 47];[4, 15];[4, 146];[2, 13];[6, 311];[5, 202];[6, 771];[2, 20];[2, 4];[2, 21];[2, 55];[2, 166];[3, 49];[2, 13];[2, 40];[1, 42];[4, 83];[6, 66];[6, 182];[5, 48];[4, 43];[4, 131];
71;[2, 42];[2, 24];[6, 220];[2, 146];[4, 15];[4, 277];[2, 13];[6, 311];[5, 205];[5, 780];[1, 3];[2, 4];[2, 25];[2, 104];[2, 166];[3, 49];[2, 13];[2, 40];[1, 42];[4, 52];[6, 66];[6, 182];[6, 47];[4, 43];[4, 131];
